entry_id,platform,source_type,current_value,normalized_hex,role_guess,target_token,status,priority,files,notes,design_system_reference,count_estimate,component_zone,replace_strategy
WEB-001,web,theme_token,tailwind extend: primary-500 / success-500,#4CAF50,"primary_cta, status_success",color.core.green.500,ok,P0,frontend/tailwind.config.js; frontend/src/utils/designTokens.js,Matches DS Vibrant Green / success. Map semantic aliases to this core.,Vibrant Green / Success,2,shared_tokens,token_update
WEB-002,web,theme_token,tailwind: primary-600 hover,#45A049,primary_hover,color.action.primaryHover,ok,P0,frontend/tailwind.config.js,DS-aligned hover shade; keep paired with primary.,Primary hover (demo buttons),1,shared_tokens,token_update
WEB-003,web,theme_token,tailwind: primary-50/100 Cool Mint,#DFF5EC,"surface_subtle, highlight",color.core.green.50,ok,P1,frontend/tailwind.config.js,DS Cool Mint.,Cool Mint,1,shared_tokens,token_update
WEB-004,web,theme_token,tailwind: neutral-800 / text headings in tokens,#2D2D2D,text_heading,color.text.primary,ok,P1,frontend/tailwind.config.js,DS Charcoal Text.,Charcoal Text,1,shared_tokens,token_update
WEB-005,web,theme_token,tailwind neutral scale vs DS Warm Grey,#909090,text_body,color.text.secondary,mismatch,P1,frontend/tailwind.config.js,DS lists Warm Grey #909090; tailwind neutral-400 is #A3A3A3. Unify to DS or document deviation.,Warm Grey,1,shared_tokens,token_update
WEB-006,web,tailwind_utility,text-gray-600,,text_secondary_muted,color.text.muted,drift,P0,"frontend/src/**/*.jsx (broad: MasterAccounting, ClientDashboard, Admin*, modals, booking/*)","High-volume default Tailwind gray; should map to neutral/text tokens, not parallel gray scale.",Warm Grey / muted text (approx),497,global,tailwind_alias
WEB-007,web,tailwind_utility,text-gray-500,,text_muted,color.text.muted,drift,P0,frontend/src/**/*.jsx,Parallel to neutral-500/600; consolidate.,Muted text,483,global,tailwind_alias
WEB-008,web,tailwind_utility,text-gray-900 / text-gray-700,,text_primary,color.text.primary,drift,P0,frontend/src/**/*.jsx,Should align with Charcoal #2D2D2D or neutral-800.,Charcoal Text,938,global,tailwind_alias
WEB-009,web,tailwind_utility,border-gray-200 / border-gray-300,,border_default,color.border.default,drift,P1,frontend/src/**/*.jsx,Use semantic border token tied to neutral-200/300.,Mild Taupe borders (approx),492,global,tailwind_alias
WEB-010,web,tailwind_utility,bg-gray-50 / bg-gray-100,,surface_page_subtle,color.surface.page,drift,P1,frontend/src/**/*.jsx,Map to Pastel Base #F9F7F6 / Mild Taupe surfaces.,Pastel Base / secondary surfaces,417,global,tailwind_alias
WEB-011,web,tailwind_utility,text-blue-600 / bg-blue-600 / ring-blue-500,,"link, info, focus_ring",color.link.default; color.border.focus (split),mismatch,P0,frontend/src/components/MasterSettings.jsx; BlogEditor.jsx; AdminFunctions.jsx; Sidebar.jsx; ...,DS does not define blue core; decide: introduce color.core.blue.* or replace with brand-primary for focus.,undefined in DS — needs decision,400,global,manual_refactor
WEB-012,web,tailwind_utility,text-green-600 / bg-green-100,,success_metric,color.status.success,duplicate,P1,frontend/src/**/*.jsx,Parallel success channel alongside primary-500; unify to semantic success or finance metric tokens.,Success,167,global,tailwind_alias
WEB-013,web,tailwind_utility,text-red-600 / text-red-500 / bg-red-50,,"danger, error, destructive",color.status.error,drift,P1,frontend/src/**/*.jsx,Tailwind red vs token error-* #EF4444; align to DS error.,Error #EF4444,280,global,tailwind_alias
WEB-014,web,hex,#2196F3 / #1976D2,#2196F3,calendar_secondary_action,color.calendar.action.secondary (proposed),mismatch,P0,frontend/src/components/MasterScheduleCalendar.jsx; frontend/src/components/MasterDashboardStats.jsx,Material blue; not in DS. Either adopt as domain token or replace with semantic secondary.,not in DS,5,calendar,manual_refactor
WEB-015,web,hex,#FF9800 / #F57C00,#FF9800,warning_cta,color.status.warning,mismatch,P1,frontend/src/components/MasterScheduleCalendar.jsx,Material orange; DS warning is #F59E0B — align or domain_exception with rationale.,Warning #F59E0B,6,calendar,token_update
WEB-016,web,hex,#4CAF50 (inline),#4CAF50,primary_cta,color.action.primary,duplicate,P1,frontend/src/pages/DesignSystemDemo.jsx; MasterScheduleCalendar.jsx; many dashboards,Same hex as token but bypasses theme — replace with semantic class/CSS var.,Vibrant Green,372,global,manual_refactor
WEB-017,web,hex,#45A049 (inline hover),#45A049,primary_hover,color.action.primaryHover,duplicate,P1,frontend/src/components/MasterScheduleCalendar.jsx; DesignSystemDemo.jsx,Inline hover duplicates primary-600.,Primary hover,65,global,manual_refactor
WEB-018,shared,theme_token,FINANCE_THEME.primaryGreen,#4CAF50,finance_income_confirmed,color.finance.income.confirmed,domain_exception,P1,frontend/src/constants/financeTheme.js; mobile/src/theme/financeTheme.ts; mobile/app/(master)/master/finance.tsx,Keep domain layer; ensure maps to same core green as DS.,Vibrant Green (CTA) + finance semantics,3,finance,token_update
